indices,classes,samples,attributes,Sensitivity,Specificity
600,7,5000,60,21.6,85.01
601,7,5000,70,21.2,85.47
602,7,5000,75,18.0,89.28
603,7,5000,80,11.2,92.0
604,7,5000,90,13.6,92.08
605,7,5000,100,12.4,91.22
606,7,5000,125,8.0,93.09
607,7,5000,150,6.8,93.87
608,7,5000,175,3.2,94.42
609,7,5000,200,4.4,96.29
610,7,5000,225,5.2,96.53
611,7,5000,250,1.2,96.95
612,8,5000,10,47.2,77.39
613,8,5000,20,22.0,89.92
614,8,5000,25,40.0,80.21
615,8,5000,30,22.8,86.42
616,8,5000,40,31.6,85.26
617,8,5000,50,28.4,82.91
618,8,5000,60,12.8,90.67
619,8,5000,70,14.0,89.16
620,8,5000,75,12.4,92.29
621,8,5000,80,14.8,89.26
622,8,5000,90,15.6,87.96
623,8,5000,100,8.8,93.12
624,8,5000,125,12.0,93.12
625,8,5000,150,5.6,94.04
626,8,5000,175,4.0,95.05
627,8,5000,200,3.2,94.67
628,8,5000,225,1.6,97.49
629,8,5000,250,2.8,98.04
630,9,5000,10,52.0,77.24
631,9,5000,20,28.8,88.42
632,9,5000,25,34.0,79.16
633,9,5000,30,24.8,86.02
634,9,5000,40,29.6,81.71
635,9,5000,50,18.0,90.95
636,9,5000,60,21.2,88.51
637,9,5000,70,21.2,86.63
638,9,5000,75,10.8,89.6
639,9,5000,80,9.6,92.57
640,9,5000,90,13.2,91.12
641,9,5000,100,13.6,90.74
642,9,5000,125,11.6,90.76
643,9,5000,150,5.2,94.02
644,9,5000,175,4.4,95.18
645,9,5000,200,4.4,94.97
646,9,5000,225,3.6,97.24
647,9,5000,250,2.8,97.54
648,10,5000,10,55.2,76.02
649,10,5000,20,27.6,87.45
650,10,5000,25,46.4,77.33
651,10,5000,30,32.8,83.89
652,10,5000,40,31.2,79.52
653,10,5000,50,21.2,87.58
654,10,5000,60,19.6,86.15
655,10,5000,70,22.4,84.95
656,10,5000,75,16.0,87.54
657,10,5000,80,13.6,89.79
658,10,5000,90,12.8,89.96
659,10,5000,100,13.2,87.83
660,10,5000,125,7.6,92.46
661,10,5000,150,7.2,93.09
662,10,5000,175,8.8,92.93
663,10,5000,200,4.0,95.07
664,10,5000,225,7.2,94.48
665,10,5000,250,4.4,96.11
666,11,5000,10,54.4,75.68
667,11,5000,20,28.8,87.16
668,11,5000,25,44.4,76.19
669,11,5000,30,34.4,82.27
670,11,5000,40,35.6,76.91
671,11,5000,50,23.6,86.21
672,11,5000,60,25.2,83.66
673,11,5000,70,29.2,81.22
674,11,5000,75,17.6,85.14
675,11,5000,80,15.6,88.04
676,11,5000,90,18.8,86.55
677,11,5000,100,19.2,85.09
678,11,5000,125,10.8,90.78
679,11,5000,150,9.2,91.07
680,11,5000,175,4.8,93.68
681,11,5000,200,4.4,94.04
682,11,5000,225,6.4,93.26
683,11,5000,250,5.2,95.77
684,12,5000,10,25.2,93.98
685,12,5000,20,29.6,86.34
686,12,5000,25,26.4,89.43
687,12,5000,30,32.4,81.39
688,12,5000,40,22.8,88.38
689,12,5000,50,20.8,85.24
690,12,5000,60,32.8,81.83
691,12,5000,70,28.8,81.68
692,12,5000,75,27.6,83.58
693,12,5000,80,11.2,87.43
694,12,5000,90,16.8,85.33
695,12,5000,100,10.4,89.6
696,12,5000,125,14.4,88.93
697,12,5000,150,14.8,89.33
698,12,5000,175,8.4,92.46
